round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,1,Mychal Thompson,F/C,Bahamas,Portland Trail Blazers,Minnesota,Yes,College Senior,1978
1,2,Phil Fordx,G,United States,Kansas City Kings,North Carolina,Yes,College Senior,1978
1,3,Rick Robey,F/C,United States,Indiana Pacers,Kentucky,Yes,College Senior,1978
1,4,Micheal Ray Richardson,G/F,United States,New York Knicks,Montana,Yes,College Senior,1978
1,5,Purvis Short,G/F,United States,Golden State Warriors,Jackson State,Yes,College Senior,1978
1,6,Larry Bird^,F,United States,Boston Celtics,Indiana State,No,College Junior,1978
1,7,Ron Brewer,G,United States,Portland Trail Blazers,Arkansas,Yes,College Senior,1978
1,8,Freeman Williams,G/F,United States,Boston Celtics,Portland State,Yes,College Senior,1978
1,9,Reggie Theus,G,United States,Chicago Bulls,UNLV,No,College Junior,1978
1,10,Butch Lee,G,Puerto Rico,Atlanta Hawks,Marquette,No,College Senior,1978
1,11,James Hardy,F/C,United States,New Orleans Jazz,San Francisco,Yes,College Freshman,1978
1,12,George Johnson,F/C,United States,Milwaukee Bucks,St. John's,Yes,College Senior,1978
1,13,Winford Boynes,G/F,United States,New Jersey Nets,San Francisco,Yes,College Freshman,1978
1,14,Roger Phegley,G/F,United States,Washington Bullets,Bradley,No,College Senior,1978
1,15,Mike Mitchell,F,United States,Cleveland Cavaliers,Auburn,Yes,College Senior,1978
1,16,Jack Givens,G/F,United States,Atlanta Hawks,Kentucky,Yes,College Senior,1978
1,17,Rod Griffin,F,United States,Denver Nuggets,Wake Forest,Yes,College Senior,1978
1,18,Dave Corzine,C,United States,Washington Bullets,DePaul,Yes,College Senior,1978
1,19,Marty Byrnes,F,United States,Phoenix Suns,Syracuse,No,College Senior,1978
1,20,Frankie Sanders,G/F,United States,San Antonio Spurs,Southern,No,College Sophmore,1978
1,21,Mike Evans,G,United States,Denver Nuggets,Kansas State,Yes,College Senior,1978
1,22,Raymond Townsend,G,United States,Golden State Warriors,UCLA,Yes,College Senior,1978
