Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status,Year
1,1,Blake Griffin,PF,United States,Los Angeles Clippers,Oklahoma,No,College Sophmore,2009
1,2,Hasheem Thabeet,C,Tanzania,Memphis Grizzlies,Connecticut,No,College Junior,2009
1,3,James Harden,SG,United States,Oklahoma City Thunder,Arizona State,No,College Sophmore,2009
1,4,Tyreke Evans,SG,United States,Sacramento Kings,Memphis,No,College Freshman,2009
1,5,Ricky Rubio,PG,Spain,Minnesota Timberwolves,DKV Joventut (Spain),Yes,Playing Internationally,2009
1,6,Jonny Flynn,PG,United States,Minnesota Timberwolves,Syracuse,No,College Sophmore,2009
1,7,Stephen Curry,PG,United States,Golden State Warriors,Davidson,No,College Junior,2009
1,8,Jordan Hill,PF,United States,New York Knicks,Arizona,No,College Junior,2009
1,9,DeMar DeRozan,SG,United States,Toronto Raptors,USC,No,College Freshman,2009
1,10,Brandon Jennings,PG,United States,Milwaukee Bucks,Lottomatica Roma (Italy),No,Playing Internationally,2009
1,11,Terrence Williams,SG,United States,New Jersey Nets,Louisville,No,College Senior,2009
1,12,Gerald Henderson,SG,United States,Charlotte Bobcats,Duke,No,College Junior,2009
1,13,Tyler Hansbrough,PF,United States,Indiana Pacers,North Carolina,No,College Senior,2009
1,14,Earl Clark,SF,United States,Phoenix Suns,Louisville,No,College Junior,2009
1,15,Austin Daye,SF,United States,Detroit Pistons,Gonzaga,No,College Sophmore,2009
1,16,James Johnson,SF,United States,Chicago Bulls,Wake Forest,No,College Sophmore,2009
1,17,Jrue Holiday,PG,United States,Philadelphia 76ers,UCLA,No,College Freshman,2009
1,18,Ty Lawson,PG,United States,Minnesota Timberwolves,North Carolina,Yes,College Junior,2009
1,19,Jeff Teague,PG,United States,Atlanta Hawks,Wake Forest,No,College Sophmore,2009
1,20,Eric Maynor,PG,United States,Utah Jazz,VCU,No,College Senior,2009
1,21,Darren Collison,PG,United States,New Orleans Hornets,UCLA,No,College Senior,2009
1,22,Víctor Claver,SF,Spain,Portland Trail Blazers,Pamesa Valencia (Spain),Yes,Playing Internationally,2009
1,23,Omri Casspi,SF,Israel,Sacramento Kings,Maccabi Tel Aviv (Israel),Yes,Playing Internationally,2009
1,24,Byron Mullens,C,United States,Dallas Mavericks,Ohio State,Yes,College Freshman,2009
1,25,Rodrigue Beaubois,PG,France,Oklahoma City Thunder,Cholet,Yes,College Freshman,2009
1,26,Taj Gibson,PF,United States,Chicago Bulls,USC,Yes,College Junior,2009
1,27,DeMarre Carroll,SF,United States,Memphis Grizzlies,Missouri,Yes,College Senior,2009
1,28,Wayne Ellington,SG,United States,Minnesota Timberwolves,North Carolina,Yes,College Junior,2009
1,29,Toney Douglas,PG,United States,Los Angeles Lakers,Florida State,Yes,College Senior,2009
1,30,Christian Eyenga,SF,DR Congo,Cleveland Cavaliers,CB Prat (Spain),No,Playing Internationally,2009
2,31,Jeff Pendergraph,PF,United States,Sacramento Kings,Arizona State,Yes,College Senior,2009
2,32,Jermaine Taylor,SG,United States,Washington Wizards,Central Florida,Yes,College Senior,2009
2,33,Dante Cunningham,PF,United States,Portland Trail Blazers,Villanova,Yes,College Senior,2009
2,34,Sergio Llull,PG,Spain,Denver Nuggets,Real Madrid (Spain),Yes,Playing Internationally,2009
2,35,DaJuan Summers,PF,United States,Detroit Pistons,Georgetown,Yes,College Junior,2009
2,36,Sam Young,SF,United States,Memphis Grizzlies,Pittsburgh,No,College Senior,2009
2,37,DeJuan Blair,PF,United States,San Antonio Spurs,Pittsburgh,Yes,College Sophmore,2009
2,38,Jon Brockman,PF,United States,Portland Trail Blazers,Washington,Yes,College Senior,2009
2,39,Jonas Jerebko,PF,Sweden,Detroit Pistons,Angelico Biella (Italy),Yes,Playing Internationally,2009
2,40,Derrick Brown,SF,United States,Charlotte Bobcats,Xavier,Yes,College Junior,2009
2,41,Jodie Meeks,SG,United States,Milwaukee Bucks,Kentucky,No,College Junior,2009
2,42,Patrick Beverley,PG,United States,Los Angeles Lakers,Dnipro (Ukraine),Yes,Playing Internationally,2009
2,43,Marcus Thornton,SG,United States,Miami Heat,LSU,Yes,College Senior,2009
2,44,Chase Budinger,SF,United States,Detroit Pistons,Arizona,Yes,College Junior,2009
2,45,Nick Calathes,PG,Greece,Minnesota Timberwolves,Florida,Yes,College Sophmore,2009
2,46,Danny Green,SF,United States,Cleveland Cavaliers,North Carolina,Yes,College Senior,2009
2,47,Henk Norel,PF,Netherlands,Minnesota Timberwolves,DKV Joventut (Spain),Yes,Playing Internationally,2009
2,48,Taylor Griffin,SF,United States,Phoenix Suns,Oklahoma,No,College Senior,2009
2,49,Sergiy Gladyr,SG,Ukraine,Atlanta Hawks,MBC Mykolaiv (Ukraine),No,Playing Internationally,2009
2,50,Goran Suton,C,Bosnia and Herzegovina,Utah Jazz,Michigan State,No,College Senior,2009
2,51,Jack McClinton,SG,United States,San Antonio Spurs,Miami,Yes,College Senior,2009
2,52,A. J. Price,PG,United States,Indiana Pacers,Connecticut,Yes,College Senior,2009
2,53,Nando de Colo,PG,France,San Antonio Spurs,Cholet,Yes,College Freshman,2009
2,54,Robert Vaden,SG,United States,Charlotte Bobcats,UAB,Yes,College Senior,2009
2,55,Patty Mills,PG,Australia,Portland Trail Blazers,Saint Mary's,Yes,College Sophmore,2009
2,56,Ahmad Nivins,PF,United States,Dallas Mavericks,Saint Joseph's,Yes,College Senior,2009
2,57,Emir Preldžič,PF,Slovenia,Phoenix Suns,Fenerbahçe Ülker (Turkey),Yes,Playing Internationally,2009
2,58,Lester Hudson,PG,United States,Boston Celtics,Tennessee-Martin,No,College Senior,2009
2,59,Chinemelu Elonu,PF,Nigeria,Los Angeles Lakers,Texas A&M,No,College Junior,2009
2,60,Robert Dozier,SF,United States,Miami Heat,Memphis,Yes,College Senior,2009
1,1,John Wall,PG,United States,Washington Wizards,Kentucky,No,College Freshman,2010
1,2,Evan Turner,SF/SG,United States,Philadelphia 76ers,Ohio State,No,College Junior,2010
1,3,Derrick Favors,PF,United States,New Jersey Nets,Georgia Tech,No,College Freshman,2010
1,4,Wesley Johnson,SF,United States,Minnesota Timberwolves,Syracuse,No,College Junior,2010
1,5,DeMarcus Cousins,C,United States,Sacramento Kings,Kentucky,No,College Freshman,2010
1,6,Ekpe Udoh,C,United States,Golden State Warriors,Baylor,No,College Junior,2010
1,7,Greg Monroe,PF,United States,Detroit Pistons,Georgetown,No,College Sophmore,2010
1,8,Al-Farouq Aminu,SF,United States,Los Angeles Clippers,Wake Forest,No,College Sophmore,2010
1,9,Gordon Hayward,SF,United States,Utah Jazz,Butler,Yes,College Sophmore,2010
1,10,Paul George,SF,United States,Indiana Pacers,Fresno State,No,College Freshman,2010
1,11,Cole Aldrich,C,United States,New Orleans Hornets,Kansas,Yes,College Junior,2010
1,12,Xavier Henry,SG,United States,Memphis Grizzlies,Kansas,No,College Freshman,2010
1,13,Ed Davis,PF,United States,Toronto Raptors,North Carolina,No,College Sophmore,2010
1,14,Patrick Patterson,PF,United States,Houston Rockets,Kentucky,No,College Junior,2010
1,15,Larry Sanders,C,United States,Milwaukee Bucks,VCU,Yes,College Junior,2010
1,16,Luke Babbitt,SF,United States,Minnesota Timberwolves,Nevada,Yes,College Sophmore,2010
1,17,Kévin Séraphin,PF,France,Chicago Bulls,Cholet Basket,Yes,College Freshman,2010
1,18,Eric Bledsoe,PG,United States,Oklahoma City Thunder,Kentucky,Yes,College Freshman,2010
1,19,Avery Bradley,SG,United States,Boston Celtics,Texas,No,College Freshman,2010
1,20,James Anderson,SG,United States,San Antonio Spurs,Oklahoma State,No,College Junior,2010
1,21,Craig Brackins,PF,United States,Oklahoma City Thunder,Iowa State,Yes,College Junior,2010
1,22,Elliot Williams,SG,United States,Portland Trail Blazers,Memphis,No,College Sophmore,2010
1,23,Trevor Booker,PF,United States,Minnesota Timberwolves,Clemson,Yes,College Senior,2010
1,24,Damion James,SF,United States,Atlanta Hawks,Texas,Yes,College Senior,2010
1,25,Dominique Jones,SG,United States,Memphis Grizzlies,USF,Yes,College Junior,2010
1,26,Quincy Pondexter,SF,United States,Oklahoma City Thunder,Washington,Yes,College Senior,2010
1,27,Jordan Crawford,SG,United States,New Jersey Nets,Xavier,Yes,College Sophmore,2010
1,28,Greivis Vásquez,PG,Venezuela,Memphis Grizzlies,Maryland,Yes,College Senior,2010
1,29,Daniel Orton,C,United States,Orlando Magic,Kentucky,No,College Freshman,2010
1,30,Lazar Hayward,SF,United States,Washington Wizards,Marquette,Yes,College Senior,2010
2,31,Tibor Pleiß,C,Germany,New Jersey Nets,Brose Baskets (Germany),Yes,Playing Internationally,2010
2,32,Dexter Pittman,C,United States,Miami Heat,Texas,Yes,College Senior,2010
2,33,Hassan Whiteside,C,United States,Sacramento Kings,Marshall,No,College Freshman,2010
2,34,Armon Johnson,PG,United States,Portland Trail Blazers,Nevada,Yes,College Junior,2010
2,35,Nemanja Bjelica,PF,Serbia,Washington Wizards,Red Star Belgrade (Serbia),Yes,Playing Internationally,2010
2,36,Terrico White,SG,United States,Detroit Pistons,Ole Miss,No,College Sophmore,2010
2,37,Darington Hobson,SF,United States,Milwaukee Bucks,New Mexico,Yes,College Junior,2010
2,38,Andy Rautins,SG,Canada,New York Knicks,Syracuse,No,College Senior,2010
2,39,Landry Fields,SG,United States,New York Knicks,Stanford,Yes,College Senior,2010
2,40,Lance Stephenson,SG,United States,Indiana Pacers,Cincinnati,No,College Freshman,2010
2,41,Jarvis Varnado,PF,United States,Miami Heat,Mississippi State,Yes,College Senior,2010
2,42,Da'Sean Butler,SF,United States,Miami Heat,West Virginia,Yes,College Senior,2010
2,43,Devin Ebanks,SF,United States,Los Angeles Lakers,West Virginia,Yes,College Sophmore,2010
2,44,Jerome Jordan,C,Jamaica,Milwaukee Bucks,Tulsa,Yes,College Senior,2010
2,45,Paulão Prestes,C,Brazil,Minnesota Timberwolves,CB Murcia (Spain),Yes,Playing Internationally,2010
2,46,Gani Lawal,PF,Nigeria,Phoenix Suns,Georgia Tech,Yes,College Junior,2010
2,47,Tiny Gallon,PF,United States,Milwaukee Bucks,Oklahoma,No,College Freshman,2010
2,48,Latavious Williams,SF,United States,Miami Heat,Tulsa 66ers (D-League),Yes,Playing Internationally,2010
2,49,Ryan Richards,PF,United Kingdom,San Antonio Spurs,CB Gran Canaria (Spain),No,Playing Internationally,2010
2,50,Solomon Alabi,C,Nigeria,Dallas Mavericks,Florida State,Yes,College Sophmore,2010
2,51,Magnum Rolle,PF,Bahamas,Oklahoma City Thunder,Louisiana Tech,Yes,College Senior,2010
2,52,Luke Harangody,PF,United States,Boston Celtics,Notre Dame,No,College Senior,2010
2,53,Pape Sy,SF,France,Atlanta Hawks,STB Le Havre,No,College Freshman,2010
2,54,Willie Warren,PG,United States,Los Angeles Clippers,Oklahoma,Yes,College Sophmore,2010
2,55,Jeremy Evans,PF,United States,Utah Jazz,WKU,No,College Senior,2010
2,56,Hamady N'Diaye,C,Senegal,Minnesota Timberwolves,Rutgers,Yes,College Senior,2010
2,57,Ryan Reid,PF,United States,Indiana Pacers,Florida State,Yes,College Junior,2010
2,58,Derrick Caracter,PF,United States,Los Angeles Lakers,UTEP,No,College Junior,2010
2,59,Stanley Robinson,SF,United States,Orlando Magic,Connecticut,No,College Senior,2010
2,60,Dwayne Collins,PF,United States,Phoenix Suns,Miami,Yes,College Senior,2010
1,1,Kyrie Irving,PG,United States ,Cleveland Cavaliers,Duke,Yes,College Freshman,2011
1,2,Derrick Williams,SF/PF,United States,Minnesota Timberwolves,Arizona,No,College Sophmore,2011
1,3,Enes Kanter,C,Turkey,Utah Jazz,"Stoneridge Preparatory School(Simi Valley, California) ",Yes,Playing Internationally,2011
1,4,Tristan Thompson,C/PF,Canada,Cleveland Cavaliers,Texas,No,College Freshman,2011
1,5,Jonas Valančiūnas,C,Lithuania,Toronto Raptors,Lietuvos rytas Vilnius (Lithuania),No,Playing Internationally,2011
1,6,Jan Veselý,PF,Czech Republic,Washington Wizards,Partizan Belgrade (Serbia),No,Playing Internationally,2011
